净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配,return,positive_comp,negative_comp,rolling_SR,drawdown_duration,drawdown_amount,alpha,beta,comp_1,Upside_Capture_mean,Downside_Capture_mean,Upside_Capture,Downside_Capture,vol,comp_vol
2021-01-14,1.356,3.867,-2.16%,开放申购,开放赎回,,-0.007698229407236301,0,0,-0.037177544000417485,0,0.0,0.0,0.0,0.9760000109672546,2.72,25.05,,,,
2021-01-15,1.35,3.861,-0.44%,开放申购,开放赎回,,-0.0015515903801396336,0,0,-0.032010168284817876,0,0.0,0.0,0.0,0.9559999704360962,2.72,25.05,,,,
2021-01-18,1.345,3.856,-0.37%,开放申购,开放赎回,,-0.0012950012950013745,0,0,0.0015239156373840284,0,0.0,0.0,0.0,0.9480000138282776,2.72,25.05,,,,
2021-01-19,1.328,3.839,-1.26%,开放申购,开放赎回,,-0.004408713692946042,0,0,-0.029230446391825655,0,0.0,0.0,0.0,0.9300000071525574,2.72,25.05,,,,
2021-01-20,1.363,3.874,2.64%,开放申购,开放赎回,,0.009116957541026371,0,0,0.012070251513487514,0,0.0,0.0,0.0,0.9369999766349792,2.72,25.05,,,,
2021-01-21,1.381,3.892,1.32%,开放申购,开放赎回,,0.004646360351058254,0,0,0.027276491317304665,0,0.0,0.0,0.0,0.9589999914169312,2.72,25.05,,,,
2021-01-22,1.417,3.928,2.61%,开放申购,开放赎回,,0.009249743062692772,0,0,0.05840174757750368,0,0.0,0.0,0.0,0.9589999914169312,2.72,25.05,,,,
2021-01-25,1.453,3.964,2.54%,开放申购,开放赎回,,0.009164969450101923,0,0,0.12332685952976076,0,0.0,0.0,0.0,1.003000020980835,2.72,25.05,,,,
2021-01-26,1.424,3.935,-2.00%,开放申购,开放赎回,,-0.0073158425832492435,0,0,0.0810698018284647,0,0.0,0.0,0.0,0.9829999804496764,2.72,25.05,,,,
2021-01-27,1.411,3.922,-0.91%,开放申购,开放赎回,,-0.003303684879288449,0,0,0.053757901150536164,0,0.0,0.0,0.0,0.959999978542328,2.72,25.05,,,,
2021-01-28,1.379,3.89,-2.27%,开放申购,开放赎回,,-0.008159102498725201,0,0,0.011773104037970238,0,0.0,0.0,0.0,0.9390000104904176,2.72,25.05,,,,
2021-01-29,1.386,3.897,0.51%,开放申购,开放赎回,,0.0017994858611825038,0,0,-0.00024638992236919916,0,0.0,0.0,0.0,0.949999988079071,2.72,25.05,,,,
