净值日期,每万份收益,7日年化收益率（%）,申购状态,赎回状态,分红送配
2024-04-28,0.4599,1.7050%,暂停申购,开放赎回,
2024-04-27,0.4599,1.7240%,暂停申购,开放赎回,
2024-04-26,0.4596,1.7440%,暂停申购,开放赎回,
2024-04-25,0.4469,1.7630%,暂停申购,开放赎回,
2024-04-24,0.4633,1.7890%,暂停申购,开放赎回,
2024-04-23,0.4590,1.8090%,暂停申购,开放赎回,
2024-04-22,0.4938,1.8290%,暂停申购,开放赎回,
2024-04-21,0.4965,1.8170%,暂停申购,开放赎回,
2024-04-20,0.4965,1.8190%,暂停申购,开放赎回,
2024-04-19,0.4963,1.8220%,暂停申购,开放赎回,
2024-04-18,0.4948,1.8240%,暂停申购,开放赎回,
2024-04-17,0.5006,1.8340%,暂停申购,开放赎回,
2024-04-16,0.4978,1.8430%,暂停申购,开放赎回,
2024-04-15,0.4706,1.8520%,暂停申购,开放赎回,
2024-04-14,0.5011,1.8680%,暂停申购,开放赎回,
2024-04-13,0.5011,1.8760%,暂停申购,开放赎回,
2024-04-12,0.5006,1.8840%,暂停申购,开放赎回,
2024-04-11,0.5138,1.8930%,暂停申购,开放赎回,
2024-04-10,0.5180,1.8940%,暂停申购,开放赎回,
2024-04-09,0.5139,1.9030%,暂停申购,开放赎回,
2024-04-08,0.5016,1.9060%,暂停申购,开放赎回,
2024-04-07,0.5163,1.9430%,暂停申购,开放赎回,
2024-04-06,0.5163,1.9450%,暂停申购,开放赎回,
2024-04-05,0.5163,1.9470%,暂停申购,开放赎回,
2024-04-04,0.5163,1.9510%,暂停申购,开放赎回,
2024-04-03,0.5344,1.9660%,暂停申购,开放赎回,
2024-04-02,0.5201,1.9480%,暂停申购,开放赎回,
2024-04-01,0.5708,1.9310%,暂停申购,开放赎回,
2024-03-31,0.5206,1.8990%,暂停申购,开放赎回,
2024-03-30,0.5206,1.8930%,暂停申购,开放赎回,
2024-03-29,0.5229,1.8870%,暂停申购,开放赎回,
2024-03-28,0.5449,1.8840%,暂停申购,开放赎回,
2024-03-27,0.4996,1.8650%,暂停申购,开放赎回,
2024-03-26,0.4896,1.8680%,暂停申购,开放赎回,
2024-03-25,0.5096,1.8770%,暂停申购,开放赎回,
2024-03-24,0.5096,1.8750%,暂停申购,开放赎回,
2024-03-23,0.5096,1.8750%,暂停申购,开放赎回,
2024-03-22,0.5176,1.8750%,暂停申购,开放赎回,
2024-03-21,0.5091,1.8700%,暂停申购,开放赎回,
2024-03-20,0.5046,1.8680%,暂停申购,开放赎回,
2024-03-19,0.5062,1.8750%,暂停申购,开放赎回,
2024-03-18,0.5065,1.8790%,暂停申购,开放赎回,
2024-03-17,0.5097,1.8860%,暂停申购,开放赎回,
2024-03-16,0.5097,1.8900%,暂停申购,开放赎回,
2024-03-15,0.5073,1.8940%,暂停申购,开放赎回,
2024-03-14,0.5058,1.9010%,暂停申购,开放赎回,
2024-03-13,0.5166,1.9080%,暂停申购,开放赎回,
2024-03-12,0.5142,1.9100%,暂停申购,开放赎回,
2024-03-11,0.5200,1.9100%,暂停申购,开放赎回,
2024-03-10,0.5177,1.9100%,暂停申购,开放赎回,
2024-03-09,0.5177,1.9140%,暂停申购,开放赎回,
2024-03-08,0.5196,1.9180%,暂停申购,开放赎回,
2024-03-07,0.5186,1.9240%,暂停申购,开放赎回,
2024-03-06,0.5214,1.9340%,暂停申购,开放赎回,
2024-03-05,0.5142,1.9480%,暂停申购,开放赎回,
2024-03-04,0.5203,1.9540%,暂停申购,开放赎回,
2024-03-03,0.5250,1.9570%,暂停申购,开放赎回,
2024-03-02,0.5250,1.9590%,暂停申购,开放赎回,
2024-03-01,0.5295,1.9610%,暂停申购,开放赎回,
2024-02-29,0.5389,1.9640%,暂停申购,开放赎回,
2024-02-28,0.5470,1.9600%,暂停申购,开放赎回,
2024-02-27,0.5249,1.9530%,暂停申购,开放赎回,
2024-02-26,0.5272,1.9580%,暂停申购,开放赎回,
2024-02-25,0.5287,1.9700%,暂停申购,开放赎回,
2024-02-24,0.5287,1.9820%,暂停申购,开放赎回,
2024-02-23,0.5350,1.9930%,暂停申购,开放赎回,
2024-02-22,0.5316,2.0010%,暂停申购,开放赎回,
2024-02-21,0.5328,2.0110%,暂停申购,开放赎回,
2024-02-20,0.5348,2.0200%,暂停申购,开放赎回,
2024-02-19,0.5504,2.0280%,暂停申购,开放赎回,
2024-02-18,0.5500,2.0280%,暂停申购,开放赎回,
2024-02-17,0.5500,2.0280%,暂停申购,开放赎回,
2024-02-16,0.5500,2.0280%,暂停申购,开放赎回,
2024-02-15,0.5500,2.0280%,暂停申购,开放赎回,
2024-02-14,0.5501,2.0390%,暂停申购,开放赎回,
2024-02-13,0.5501,2.0420%,暂停申购,开放赎回,
2024-02-12,0.5501,2.0400%,暂停申购,开放赎回,
2024-02-11,0.5501,2.0470%,暂停申购,开放赎回,
2024-02-10,0.5501,2.0540%,暂停申购,开放赎回,
2024-02-09,0.5501,2.0600%,暂停申购,开放赎回,
2024-02-08,0.5709,2.0670%,暂停申购,开放赎回,
2024-02-07,0.5548,2.0590%,暂停申购,开放赎回,
2024-02-06,0.5479,2.0670%,暂停申购,开放赎回,
2024-02-05,0.5620,2.0810%,暂停申购,开放赎回,
2024-02-04,0.5627,2.0120%,暂停申购,开放赎回,
2024-02-03,0.5627,2.0150%,暂停申购,开放赎回,
2024-02-02,0.5620,2.0180%,暂停申购,开放赎回,
2024-02-01,0.5570,2.0210%,暂停申购,开放赎回,
2024-01-31,0.5697,2.0100%,暂停申购,开放赎回,
2024-01-30,0.5736,2.0050%,暂停申购,开放赎回,
2024-01-29,0.4321,2.0010%,暂停申购,开放赎回,
2024-01-28,0.5684,2.0740%,暂停申购,开放赎回,
2024-01-27,0.5684,2.0750%,暂停申购,开放赎回,
2024-01-26,0.5679,2.0760%,暂停申购,开放赎回,
2024-01-25,0.5357,2.0770%,暂停申购,开放赎回,
2024-01-24,0.5604,2.1000%,暂停申购,开放赎回,
2024-01-23,0.5663,2.0960%,暂停申购,开放赎回,
2024-01-22,0.5704,2.0900%,暂停申购,开放赎回,
2024-01-21,0.5697,2.0860%,暂停申购,开放赎回,
2024-01-20,0.5697,2.0830%,暂停申购,开放赎回,
2024-01-19,0.5695,2.0790%,暂停申购,开放赎回,
