日期,期间申购（亿份）,期间赎回（亿份）,期末总份额（亿份）,期末净资产（亿元）,净资产变动率
2024-03-31,0.02,0.32,4.38,5.66,-5.53%
2023-12-31,0.01,---,4.67,6.00,-2.96%
2023-09-30,0.42,0.04,4.66,6.18,10.66%
2023-06-30,0.00,---,4.27,5.58,-3.16%
2023-03-31,7.72,4.01,4.27,5.76,678.89%
2022-12-31,0.51,0.00,0.56,0.74,1178.18%
2022-09-30,---,---,0.04,0.06,1.21%
2022-06-30,0.00,0.00,0.04,0.06,1.76%
2022-03-31,---,---,0.04,0.06,1.31%
2021-12-31,0.01,0.40,0.04,0.06,-89.72%
2021-09-30,---,---,0.43,0.54,1.86%
2021-06-30,---,0.08,0.43,0.53,-14.59%
2021-03-31,---,---,0.51,0.62,0.27%
2020-12-31,0.00,0.10,0.51,0.62,-15.11%
2020-09-30,---,---,0.61,0.73,0.19%
2020-06-30,0.25,0.00,0.61,0.73,68.37%
2020-03-31,---,---,0.36,0.43,2.55%
2019-12-31,0.00,0.02,0.36,0.42,-4.46%
2019-09-30,---,---,0.38,0.44,0.16%
2019-08-30,---,---,---,0.44,-0.20%
2019-08-23,---,---,---,0.44,0.00%
2019-08-16,---,---,---,0.44,0.07%
2019-08-09,---,---,---,0.44,0.23%
2019-08-02,---,---,---,0.44,0.29%
2019-07-26,---,---,---,0.44,0.14%
2019-07-19,---,---,---,0.44,0.12%
2019-07-12,---,---,---,0.44,0.00%
2019-07-05,---,---,---,0.44,0.19%
2019-06-30,0.00,0.01,0.38,0.44,0.01%
2019-06-28,---,---,---,0.44,0.06%
2019-06-21,---,---,---,0.44,0.21%
2019-06-14,---,---,---,0.44,0.07%
2019-06-06,---,---,---,0.43,0.10%
2019-05-31,---,---,---,0.43,0.01%
2019-05-24,---,---,---,0.43,-0.08%
2019-05-17,---,---,---,0.43,0.14%
2019-05-10,---,---,---,0.43,0.29%
2019-04-26,---,---,---,0.43,-2.04%
2019-04-19,---,---,---,0.44,0.06%
2019-04-12,---,---,---,0.44,-0.28%
2019-04-04,---,---,---,0.44,0.21%
2019-03-31,---,---,0.39,0.44,0.01%
2019-03-29,---,---,---,0.44,0.10%
2019-03-22,---,---,---,0.44,0.24%
2019-03-15,---,---,---,0.44,-0.06%
2019-03-08,---,---,---,0.44,0.14%
2019-03-01,---,---,---,0.44,-0.26%
2019-02-22,---,---,---,0.44,-0.10%
2019-02-15,---,---,---,0.44,0.09%
2019-02-01,---,---,---,0.44,0.28%
2019-01-25,---,---,---,0.44,-0.19%
2019-01-18,---,---,---,0.44,0.04%
2019-01-11,---,---,---,0.44,0.15%
2019-01-04,---,---,---,0.44,0.24%
2018-12-31,0.01,0.04,0.39,0.44,0.01%
2018-12-28,---,---,---,0.44,0.35%
2018-12-21,---,---,---,0.44,0.15%
2018-12-14,---,---,---,0.44,-0.01%
2018-12-07,---,---,---,0.44,0.42%
2018-11-30,---,---,---,0.43,0.08%
2018-11-23,---,---,---,0.43,-0.08%
2018-11-16,---,---,---,0.43,0.55%
2018-11-09,---,---,---,0.43,0.28%
2018-11-02,---,---,---,0.43,-0.02%
2018-10-26,---,---,---,0.43,-6.71%
2018-09-30,0.00,0.10,0.42,0.46,-18.41%
2018-09-21,---,---,---,0.57,0.02%
2018-09-14,---,---,---,0.57,-0.05%
2018-09-07,---,---,---,0.57,-0.10%
2018-08-31,---,---,---,0.57,0.10%
2018-08-24,---,---,---,0.57,0.09%
2018-08-17,---,---,---,0.57,-0.19%
2018-08-10,---,---,---,0.57,-0.22%
2018-08-03,---,---,---,0.57,0.43%
2018-07-27,---,---,---,0.57,0.26%
2018-07-20,---,---,---,0.56,0.23%
2018-07-13,---,---,---,0.56,0.06%
2018-07-06,---,---,---,0.56,0.26%
2018-06-30,---,---,0.52,0.56,0.01%
2018-06-29,---,---,---,0.56,0.29%
2018-06-22,---,---,---,0.56,0.13%
2018-06-15,---,---,---,0.56,0.07%
2018-06-08,---,---,---,0.56,0.00%
2018-06-01,---,---,---,0.56,0.09%
2018-05-25,---,---,---,0.56,0.02%
2018-05-18,---,---,---,0.56,-0.05%
2018-05-11,---,---,---,0.56,-0.09%
2018-05-04,---,---,---,0.56,0.16%
2018-04-27,---,---,---,0.56,-0.20%
2018-04-20,---,---,---,0.56,0.49%
2018-04-13,---,---,---,0.56,0.18%
2018-04-04,---,---,---,0.56,-9.90%
2018-03-31,0.00,0.06,0.52,0.55,0.01%
2018-03-30,---,---,---,0.55,-10.06%
2018-03-16,---,---,---,0.62,0.08%
2018-03-09,---,---,---,0.62,0.07%
2018-03-02,---,---,---,0.62,0.03%
2018-02-23,---,---,---,0.62,0.02%
2018-02-14,---,---,---,0.62,0.29%
2018-02-09,---,---,---,0.61,0.15%
2018-02-02,---,---,---,0.61,0.10%
2018-01-26,---,---,---,0.61,0.17%
2018-01-19,---,---,---,0.61,0.11%
2018-01-12,---,---,---,0.61,-0.01%
2018-01-05,---,---,---,0.61,0.20%
2017-12-31,0.00,---,0.58,0.61,0.01%
