净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配,return,annual_return,CAGR,net_return,comp_1,excess_return,rolling_mean,comp_mean,rolling_SR,excess_SR,drawdown_duration,drawdown_amount,underwater,alpha,beta,Upside_Capture_mean,Downside_Capture_mean,Upside_Capture,Downside_Capture,vol,excess_vol,comp_vol
2013-06-14,1.0,1.0,,封闭期,封闭期,,,,0.0,,1626.72998046875,,,1474.6590385742188,,,0,0.0,-0.0,0.0,0.0,97.87,92.22,,,,,0.12273506013850867
2013-06-21,1.0,1.0,0.00%,封闭期,封闭期,,0.0,,0.0,-8.6e-05,1592.4300537109375,-0.002669776576555538,,1480.153439453125,,,0,0.0,-0.0,0.0,0.0,97.87,92.22,,,,,0.12382790956628398
2013-06-27,1.001,1.001,0.10%,封闭期,封闭期,,0.0009999999999998899,,0.0,0.0009139999999998898,1613.199951171875,-0.005199831185026094,,1484.461439453125,,,0,0.0,-0.0,0.0,0.0,97.87,92.22,,,,,0.12360806987520563
2013-06-28,1.001,1.001,0.00%,开放申购,开放赎回,,0.0,,0.0,-8.6e-05,1606.280029296875,0.004289562412875814,,1485.5703994140624,,,0,0.0,-0.0,0.0,0.0,97.87,92.22,,,,,0.12367874057806705
2013-06-30,1.002,1.002,0.10%,开放申购,开放赎回,,0.0009990009990010762,,0.0,0.0009130009990010762,,,,,,,0,0.0,-0.0,,,97.87,92.22,,,,,
2013-07-01,1.005,1.005,0.30%,开放申购,开放赎回,,0.0029940119760478723,,0.0,0.002908011976047872,1614.9599609375,-0.0024097354915866287,,1486.5815991210939,,,0,0.0,-0.0,0.0,0.0,97.87,92.22,,,,,0.12137385100452121
2013-07-02,1.006,1.006,0.10%,开放申购,开放赎回,,0.0009950248756220859,,0.0,0.0009090248756220858,1614.0799560546875,0.0015399330492598118,,1487.57587890625,,,0,0.0,-0.0,0.0,0.0,97.87,92.22,,,,,0.12136757160134627
2013-07-03,1.006,1.006,0.00%,开放申购,开放赎回,,0.0,,0.0,-8.6e-05,1615.4100341796875,-0.0008240472350893313,,1488.5414389648438,,,0,0.0,-0.0,0.0,0.0,97.87,92.22,,,,,0.1212404313359144
2013-07-04,1.006,1.006,0.00%,暂停申购,暂停赎回,,0.0,,0.0,-8.6e-05,,,,,,,0,0.0,-0.0,,,97.87,92.22,,,,,
2013-07-05,1.006,1.006,0.00%,开放申购,开放赎回,,0.0,,0.0,-8.6e-05,1631.8900146484375,-0.010201732142340214,,1489.5986791992189,,,0,0.0,-0.0,0.0,0.0,97.87,92.22,,,,,0.12149301159459912
2013-07-08,1.006,1.006,0.00%,开放申购,开放赎回,,0.0,,0.0,-8.6e-05,1640.4599609375,-0.0052515464964768555,,1490.741798828125,,,0,0.0,-0.0,0.0,0.0,97.87,92.22,,,,,0.12114589637766447
2013-07-09,1.006,1.006,0.00%,开放申购,开放赎回,,0.0,,0.0,-8.6e-05,1652.3199462890625,-0.007229670722828763,,1491.9412387695313,,,0,0.0,-0.0,0.0,0.0,97.87,92.22,,,,,0.12129152114545375
2013-07-10,1.007,1.007,0.10%,开放申购,开放赎回,,0.0009940357852882276,,0.0,0.0009080357852882275,1652.6199951171875,0.0008124433347469484,,1493.1858388671876,,,0,0.0,-0.0,0.0,0.0,97.87,92.22,,,,,0.12095964789157755
2013-07-11,1.01,1.01,0.30%,开放申购,开放赎回,,0.002979145978152964,,0.0,0.0028931459781529638,1675.02001953125,-0.010575103928204932,,1494.520119140625,,,0,0.0,-0.0,0.0,0.0,97.87,92.22,,,,,0.1216199561969665
