净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配,purchase_comments,purchase_days,purchase_days_2,redeem_comments,redeem_days,redeem_days_2,benchmark_name,return,annual_return,CAGR,net_return,comp_1,excess_return,rolling_mean,comp_mean,rolling_SR,excess_SR,drawdown_duration,drawdown_amount,underwater,alpha,beta,Upside_Capture_mean,Downside_Capture_mean,Upside_Capture,Downside_Capture,vol,excess_vol,comp_vol
2019-08-05,1.0,1.0,,封闭期,封闭期,,0,0.0,0.0,0.0,0.0,0.0,0,,,0.0,,107.82099914550781,,,104.99824792480469,,,0,0.0,-0.0,0.0,0.0,73.24,23.28,,,,,0.02779892826625933
2019-08-06,1.0,1.0,,封闭期,封闭期,,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,-1.6e-05,108.0979995727539,-0.0025690767980388607,,105.02018392944336,,,0,0.0,-0.0,0.0,0.0,73.24,23.28,,,,,0.027827186072247753
2019-08-07,1.0,1.0,,封闭期,封闭期,,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,-1.6e-05,108.0,0.0009065808168627898,,105.04218392944335,,,0,0.0,-0.0,0.0,0.0,73.24,23.28,,,,,0.027818196371236604
2019-08-08,1.0,1.0,,封闭期,封闭期,,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,-1.6e-05,108.12000274658203,-0.0011111365424261166,,105.06430795288085,,,0,0.0,-0.0,0.0,0.0,73.24,23.28,,,,,0.02782502039368059
2019-08-09,1.0001,1.0001,,封闭期,封闭期,,0,0.0,0.0,0.0,0.0,0.0,0,9.999999999998899e-05,,0.0,8.399999999998899e-05,108.5199966430664,-0.003599536499475642,,105.08779193115234,,,0,0.0,-0.0,0.0,0.0,73.24,23.28,,,,,0.028040459670246952
2019-08-12,1.0001,1.0001,,封闭期,封闭期,,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,-1.6e-05,108.43900299072266,0.0007463477225321258,,105.11114794921875,,,0,0.0,-0.0,0.0,0.0,73.24,23.28,,,,,0.02804850365986766
2019-08-13,1.0001,1.0001,,封闭期,封闭期,,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,-1.6e-05,108.55000305175781,-0.0010236174989974867,,105.13455197143554,,,0,0.0,-0.0,0.0,0.0,73.24,23.28,,,,,0.028050124366231603
2019-08-14,1.0001,1.0001,,封闭期,封闭期,,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,-1.6e-05,108.61000061035156,-0.0005527181658866454,,105.15819998168945,,,0,0.0,-0.0,0.0,0.0,73.24,23.28,,,,,0.0280510733946072
2019-08-15,1.0001,1.0001,,封闭期,封闭期,,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,-1.6e-05,108.56600189208984,0.0004051074303882407,,105.17966400146484,,,0,0.0,-0.0,0.0,0.0,73.24,23.28,,,,,0.02766445364473119
2019-08-16,1.0004,1.0004,,封闭期,封闭期,,0,0.0,0.0,0.0,0.0,0.0,0,0.00029997000299974985,,0.0,0.00028397000299974984,108.43000030517578,0.0015526788118701562,,105.20018399047852,,,0,0.0,-0.0,0.0,0.0,73.24,23.28,,,,,0.027691991582011577
