净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配,return,annual_return,CAGR,net_return,comp_1,excess_return,rolling_mean,comp_mean,rolling_SR,excess_SR,drawdown_duration,drawdown_amount,underwater,alpha,beta,Upside_Capture_mean,Downside_Capture_mean,Upside_Capture,Downside_Capture,vol,excess_vol,comp_vol
2014-09-02,1.0,1.0,,暂停申购,暂停赎回,,,,0.0,,,,,,,,0,0.0,-0.0,,,77.64,-16.31,,,,,
2014-09-05,1.0,1.0,,暂停申购,暂停赎回,,0.0,,0.0,-1.6e-05,,,,,,,0,0.0,-0.0,,,77.64,-16.31,,,,,
2014-09-12,1.001,1.001,,暂停申购,暂停赎回,,0.0009999999999998899,,0.0,0.00098399999999989,,,,,,,0,0.0,-0.0,,,77.64,-16.31,,,,,
2014-09-19,1.001,1.001,,暂停申购,暂停赎回,,0.0,,0.0,-1.6e-05,,,,,,,0,0.0,-0.0,,,77.64,-16.31,,,,,
2014-09-26,1.002,1.002,,暂停申购,暂停赎回,,0.0009990009990010762,,0.0,0.0009830009990010762,,,,,,,0,0.0,-0.0,,,77.64,-16.31,,,,,
2014-09-30,1.002,1.002,,暂停申购,暂停赎回,,0.0,,0.0,-1.6e-05,,,,,,,0,0.0,-0.0,,,77.64,-16.31,,,,,
2014-10-10,1.003,1.003,,暂停申购,暂停赎回,,0.0009980039920158834,,0.0,0.0009820039920158835,,,,,,,0,0.0,-0.0,,,77.64,-16.31,,,,,
2014-10-17,1.004,1.004,,暂停申购,暂停赎回,,0.0009970089730808596,,0.0,0.0009810089730808596,,,,,,,0,0.0,-0.0,,,77.64,-16.31,,,,,
2014-10-24,1.006,1.006,,暂停申购,暂停赎回,,0.0019920318725099584,,0.0,0.0019760318725099584,,,,,,,0,0.0,-0.0,,,77.64,-16.31,,,,,
2014-10-28,1.006,1.006,,暂停申购,暂停赎回,,0.0,,0.0,-1.6e-05,,,,,,,0,0.0,-0.0,,,77.64,-16.31,,,,,
2014-10-31,1.012,1.012,,暂停申购,暂停赎回,,0.005964214711729587,,0.0,0.005948214711729587,,,,,,,0,0.0,-0.0,,,77.64,-16.31,,,,,
2014-11-07,1.015,1.015,,暂停申购,暂停赎回,,0.0029644268774702276,,0.0,0.0029484268774702276,,,,,,,0,0.0,-0.0,,,77.64,-16.31,,,,,
2014-11-14,1.018,1.018,,暂停申购,暂停赎回,,0.002955665024630738,,0.0,0.002939665024630738,,,,,,,0,0.0,-0.0,,,77.64,-16.31,,,,,
2014-11-21,1.019,1.019,,暂停申购,暂停赎回,,0.0009823182711197198,,0.0,0.0009663182711197199,,,,,,,0,0.0,-0.0,,,77.64,-16.31,,,,,
2014-11-28,1.022,1.022,,暂停申购,暂停赎回,,0.0029440628066732533,,0.0,0.0029280628066732533,,,,,,,0,0.0,-0.0,,,77.64,-16.31,,,,,
2014-12-05,1.023,1.023,,暂停申购,暂停赎回,,0.0009784735812132794,,0.0,0.0009624735812132795,,,,,,,0,0.0,-0.0,,,77.64,-16.31,,,,,
2014-12-12,1.025,1.025,,暂停申购,暂停赎回,,0.0019550342130987275,,0.0,0.0019390342130987275,,,,,,,0,0.0,-0.0,,,77.64,-16.31,,,,,
2014-12-19,1.022,1.022,,暂停申购,暂停赎回,,-0.0029268292682925745,,0.0,-0.0029428292682925745,,,,,,,0,0.0,-0.29268292682925773,,,77.64,-16.31,,,,,
2014-12-26,1.023,1.023,,暂停申购,暂停赎回,,0.0009784735812132794,,0.0,0.0009624735812132795,,,,,,,0,0.0,-0.1951219512195124,,,77.64,-16.31,,,,,
2014-12-31,1.026,1.026,,暂停申购,暂停赎回,,0.0029325513196483133,,0.0,0.0029165513196483133,,,,,,,0,0.0,-0.0,,,77.64,-16.31,,,,,
2015-01-09,1.026,1.026,,暂停申购,暂停赎回,,0.0,,0.0,-1.6e-05,,,,,,,0,0.0,-0.0,,,77.64,-16.31,,,,,
2015-01-16,1.026,1.026,,暂停申购,暂停赎回,,0.0,,0.0,-1.6e-05,,,,,,,0,0.0,-0.0,,,77.64,-16.31,,,,,
2015-01-23,1.027,1.027,,暂停申购,暂停赎回,,0.0009746588693955172,,0.0,0.0009586588693955172,,,,,,,0,0.0,-0.0,,,77.64,-16.31,,,,,
2015-01-30,1.028,1.028,,暂停申购,暂停赎回,,0.0009737098344695383,,0.0,0.0009577098344695383,,,,,,,0,0.0,-0.0,,,77.64,-16.31,,,,,
2015-02-06,1.029,1.029,,暂停申购,暂停赎回,,0.0009727626459143934,,0.0,0.0009567626459143935,,,,,,,0,0.0,-0.0,,,77.64,-16.31,,,,,
2015-02-13,1.031,1.031,,暂停申购,暂停赎回,,0.0019436345966958868,,0.0,0.0019276345966958868,,,,,,,0,0.0,-0.0,,,77.64,-16.31,,,,,
2015-02-17,1.032,1.032,,暂停申购,暂停赎回,,0.0009699321047527132,,0.0,0.0009539321047527132,,,,,,,0,0.0,-0.0,,,77.64,-16.31,,,,,
